idx,stid,nlat,elon,elev,lat_rounded,lon_rounded
0,ACME,34.80833,261.97675,397,35.0,262.0
1,ADAX,34.79851,263.33091,295,35.0,263.0
2,ALTU,34.58722,260.66192,416,35.0,261.0
3,APAC,34.91418,261.70784000000003,440,35.0,262.0
4,ARNE,36.07204,260.09692,719,36.0,260.0
5,BEAV,36.80253,259.46988,758,37.0,259.0
6,BESS,35.40185,260.94153,511,35.0,261.0
7,BIXB,35.96305,264.13379,184,36.0,264.0
8,BLAC,36.75443,262.74548,304,37.0,263.0
9,BOIS,36.69256,257.50287000000003,1267,37.0,258.0
10,BOWL,35.17156,263.36879,281,35.0,263.0
11,BREC,36.412009999999995,262.30606,352,36.0,262.0
12,BRIS,35.7805,263.64596,239,36.0,264.0
13,BUFF,36.83129,260.35899,559,37.0,260.0
14,BURB,36.63459,263.18954,301,37.0,263.0
15,BURN,33.89376,262.73082,228,34.0,263.0
16,BUTL,35.5915,260.72941000000003,520,36.0,261.0
17,BYAR,34.8497,262.99670000000003,345,35.0,263.0
18,CAMA,36.028659999999995,260.65348,589,36.0,261.0
19,CENT,34.608959999999996,263.66691000000003,208,35.0,264.0
20,CHAN,35.65282,263.19593,291,36.0,263.0
21,CHER,36.748129999999996,261.63725999999997,362,37.0,262.0
22,CHEY,35.54615,260.2721,694,36.0,260.0
23,CHIC,35.03236,262.08554000000004,328,35.0,262.0
24,CLAY,34.65657,264.67404,186,35.0,265.0
25,CLOU,34.223209999999995,264.7513,221,34.0,265.0
26,COOK,35.680009999999996,265.15104,299,36.0,265.0
27,COPA,36.90987,264.11447,250,37.0,264.0
28,DURA,33.92075,263.67973,197,34.0,264.0
29,ELRE,35.54848,261.96346,419,36.0,262.0
30,ERIC,35.20494,260.19656,603,35.0,260.0
31,EUFA,35.30324,264.34293,200,35.0,264.0
32,FAIR,36.263529999999996,261.50234,405,36.0,262.0
33,FORA,36.84053,263.57223,330,37.0,264.0
34,FREE,36.72562,260.85766,530,37.0,261.0
35,FTCB,35.14887,261.53393,422,35.0,262.0
36,GOOD,36.60183,258.3987,997,37.0,258.0
37,GUTH,35.84891,262.52022,330,36.0,263.0
38,HASK,35.74798,264.35953,183,36.0,264.0
39,HINT,35.484390000000005,261.51849,493,35.0,262.0
40,HOBA,34.989709999999995,260.94717,478,35.0,261.0
41,HOLL,34.6855,260.16669,497,35.0,260.0
42,HOOK,36.85518,258.77453,912,37.0,259.0
43,HUGO,34.030840000000005,264.45989,175,34.0,264.0
44,IDAB,33.83013,265.11969999999997,110,34.0,265.0
45,JAYX,36.4821,265.21713,304,36.0,265.0
46,KENT,36.829370000000004,257.1218,1322,37.0,257.0
47,KETC,34.52887,262.23516,341,35.0,262.0
48,LAHO,36.38435,261.88860999999997,396,36.0,262.0
49,LANE,34.30876,264.00284,181,34.0,264.0
50,MADI,34.035790000000006,263.05606,232,34.0,263.0
51,MANG,34.83592,260.57601999999997,460,35.0,261.0
52,MARE,36.06434,262.78729,327,36.0,263.0
53,MAYR,36.98707,260.98891000000003,555,37.0,261.0
54,MCAL,34.88231,264.21904,230,35.0,264.0
55,MEDF,36.79242,262.25423,332,37.0,262.0
56,MEDI,34.729209999999995,261.43064,487,35.0,261.0
57,MIAM,36.88832,265.15563,247,37.0,265.0
58,MINC,35.27225,262.04447,430,35.0,262.0
59,MTHE,34.31072,265.17725,284,34.0,265.0
60,NEWK,36.8981,263.08965,366,37.0,263.0
61,NINN,34.96774,262.04798,356,35.0,262.0
62,NOWA,36.74374,264.39205,206,37.0,264.0
63,OILT,36.031259999999996,263.50251000000003,255,36.0,264.0
64,OKEM,35.43172,263.73735,263,35.0,264.0
65,OKMU,35.58211,264.08527,205,36.0,264.0
66,PAUL,34.7155,262.77076,291,35.0,263.0
67,PAWN,36.36114,263.23014,283,36.0,263.0
68,PERK,35.99865,262.95169,292,36.0,263.0
69,PRYO,36.36914,264.72862,201,36.0,265.0
70,PUTN,35.89904,261.03962,589,36.0,261.0
71,REDR,36.3559,262.84694,293,36.0,263.0
72,RETR,35.12275,260.63999,538,35.0,261.0
73,RING,34.19365,262.41188,283,34.0,262.0
74,SALL,35.43815,265.20195,157,35.0,265.0
75,SEIL,36.190329999999996,260.9597,545,36.0,261.0
76,SHAW,35.36492,263.05178,328,35.0,263.0
77,SKIA,36.4153,263.96294,282,36.0,264.0
78,SLAP,36.59749,259.73808,774,37.0,260.0
79,SPEN,35.54208,262.65854,373,36.0,263.0
80,STIG,35.26527,264.81884,173,35.0,265.0
81,STIL,36.12093,262.90473,272,36.0,263.0
82,STUA,34.87642,263.93018,256,35.0,264.0
83,SULP,34.5661,263.04952000000003,320,35.0,263.0
84,TAHL,35.97235,265.01329,290,36.0,265.0
85,TALI,34.7107,264.98848,204,35.0,265.0
86,TIPT,34.43972,260.86244999999997,387,34.0,261.0
87,TISH,34.33262,263.32105,268,34.0,263.0
88,VINI,36.77536,264.77906,236,37.0,265.0
89,WASH,34.982240000000004,262.47891,345,35.0,262.0
90,WATO,35.84185,261.47384999999997,517,36.0,261.0
91,WAUR,34.16775,262.01185,283,34.0,262.0
92,WEAT,35.5083,261.22491,538,36.0,261.0
93,WEST,36.011,265.35504000000003,348,36.0,265.0
94,WILB,34.90092,264.65195,199,35.0,265.0
95,WIST,34.98426,265.31222,143,35.0,265.0
96,WOOD,36.42329,260.58317999999997,625,36.0,261.0
97,WYNO,36.51806,263.65778,269,37.0,264.0
